gender,age,height,weight,alcoholConsumption,beer,softDrink,pizzaSlice
man,46,181,92076,never,0,2,2
man,39,180,78907,never,0,1,3
man,44,175,66679,regular,4,3,6
man,54,174,81268,regular,3,3,5
woman,34,157,67233,casual,1,5,4
woman,48,164,62121,seasoned,3,2,7
man,18,165,54177,never,0,2,1
man,22,183,82796,seasoned,6,2,6
woman,39,159,60099,seasoned,5,3,6
woman,30,165,73190,casual,1,5,4
man,39,168,75296,seasoned,6,2,6
man,45,176,78626,casual,2,2,4
woman,54,160,55163,regular,2,3,5
man,19,175,72727,regular,3,3,7
man,21,169,62821,never,0,2,3
woman,50,177,75951,never,0,3,2
man,50,187,84614,casual,2,5,4
woman,43,155,58518,seasoned,6,4,7
woman,20,171,68190,seasoned,6,4,9
man,46,177,57959,casual,1,6,3
woman,25,170,85805,seasoned,4,2,7
man,44,197,94233,regular,4,2,6
man,45,182,76030,casual,2,6,4
woman,38,164,50438,never,0,2,2
man,39,172,61886,casual,2,5,3
woman,52,161,63729,casual,0,5,4
man,45,191,80158,regular,4,2,7
woman,23,153,59173,casual,2,4,7
man,33,164,66055,seasoned,6,1,7
man,26,167,64063,regular,3,2,7
man,39,179,71199,regular,3,2,5
woman,22,165,57723,casual,1,4,5
man,27,186,83137,regular,5,2,4
man,37,189,72466,regular,5,4,8
woman,46,167,61724,never,0,2,2
woman,28,170,74819,seasoned,6,1,8
man,49,189,81020,casual,2,3,5
man,36,176,68645,casual,3,5,4
man,38,182,85742,regular,3,3,4
man,28,181,73086,never,0,2,1
woman,44,172,66765,regular,3,6,6
man,27,178,66512,seasoned,4,2,5
man,20,177,78965,regular,4,3,6
man,38,184,70424,never,0,1,2
woman,20,178,68359,seasoned,4,1,8
woman,44,154,59497,regular,4,4,5
man,42,186,78161,casual,3,4,5
man,50,167,61919,casual,1,6,5
man,54,169,63086,regular,3,3,5
woman,45,165,61860,casual,1,5,4
man,40,188,94133,regular,4,2,4
man,51,189,86524,casual,2,4,6
woman,34,167,66660,casual,1,4,4
man,28,170,73588,never,0,2,3
woman,36,157,49533,seasoned,3,2,6
man,26,192,86292,never,0,2,2
woman,52,162,53317,never,0,3,2
woman,24,168,73250,regular,2,5,6
man,34,173,68680,casual,2,4,4
man,39,175,88035,regular,4,3,5
man,23,175,71309,regular,3,2,5
man,26,160,66698,never,0,3,2
woman,47,168,69495,never,0,2,2
man,37,175,70682,regular,5,3,6
man,23,174,79568,casual,2,4,6
man,22,179,77758,seasoned,5,1,8
man,54,176,71377,casual,2,5,4
woman,25,161,47954,casual,1,6,4
woman,23,156,66757,seasoned,4,4,8
man,54,176,70390,regular,4,3,6
man,41,200,98187,regular,4,3,6
woman,44,154,67562,casual,1,7,4
woman,29,161,72334,never,0,2,2
man,38,181,74800,never,0,2,2
man,26,181,91588,casual,1,4,6
man,34,181,63591,regular,3,1,4
woman,38,165,68848,regular,2,5,6
man,36,194,83850,casual,1,5,4
woman,45,175,73335,casual,0,5,3
man,40,187,64693,seasoned,7,1,6
man,50,184,87586,regular,7,4,6
woman,48,166,60216,casual,1,6,4
man,37,175,83501,casual,1,5,5
man,39,179,67517,regular,7,3,5
woman,42,166,64613,casual,1,6,3
woman,51,171,74324,regular,3,1,5
man,24,176,84965,regular,5,3,6
man,43,176,85564,never,0,3,3
woman,39,169,55530,regular,2,3,5
man,18,174,89125,casual,1,4,7
man,54,177,81023,never,0,2,3
man,54,175,79315,regular,5,2,9
man,34,184,82614,never,0,1,3
man,46,178,76324,casual,1,4,3
woman,20,173,63797,regular,2,3,7
woman,19,165,74042,never,0,3,4
man,33,166,51596,seasoned,7,1,4
woman,54,153,47702,never,0,2,2
woman,41,158,62778,casual,2,4,6
woman,43,168,77849,never,0,2,3
woman,34,162,67969,never,0,2,3
man,45,178,74259,casual,2,4,4
woman,43,170,69671,regular,3,4,6
woman,50,162,55503,never,0,2,4
man,48,175,65842,seasoned,9,1,7
woman,30,165,66075,regular,2,4,5
woman,51,169,70145,casual,0,7,4
woman,18,177,68236,never,0,3,3
man,40,168,52214,casual,1,4,4
woman,28,169,67697,casual,1,5,4
man,51,179,74693,casual,2,4,5
man,25,181,84597,regular,5,2,4
man,47,181,71182,never,0,2,2
man,19,175,56656,regular,2,2,5
man,42,171,69760,seasoned,7,4,5
woman,49,165,58965,seasoned,4,1,7
woman,32,173,80132,casual,0,7,4
woman,37,166,73989,casual,1,4,5
man,29,176,78284,never,0,3,2
man,35,169,78815,never,0,2,2
woman,32,172,70019,casual,1,6,4
man,49,177,71682,regular,5,4,6
man,29,187,82595,casual,1,5,4
woman,54,155,57297,seasoned,5,2,6
man,45,169,78493,casual,2,3,6
woman,33,171,65847,regular,2,3,5
man,54,183,90122,regular,4,3,7
man,54,183,79563,seasoned,6,2,5
man,51,178,79845,casual,1,4,4
woman,33,161,66141,seasoned,4,3,6
man,43,179,78501,casual,3,3,5
woman,22,159,57337,regular,4,2,8
man,21,184,79844,regular,4,2,8
man,32,186,104082,regular,4,3,6
man,52,187,91245,never,0,2,3
man,43,179,65542,never,0,2,2
woman,38,163,66891,never,0,2,2
woman,44,180,87275,seasoned,4,3,6
woman,27,162,55935,regular,3,3,7
man,30,178,76427,regular,3,3,6
woman,43,171,62170,casual,1,5,5
man,52,195,70346,seasoned,5,2,5
man,42,181,71036,seasoned,8,2,6
man,21,167,71647,regular,2,2,8
man,21,181,88115,casual,1,5,5
woman,20,164,60285,never,0,2,4
man,30,173,76523,regular,3,3,8
man,33,173,78917,casual,2,3,4
woman,51,163,60515,never,0,2,2
woman,40,167,78664,seasoned,4,2,7
woman,47,163,60178,regular,3,4,4
woman,42,153,54649,regular,3,3,7
man,51,178,81076,never,0,3,2
woman,23,165,63456,never,0,2,2
woman,48,161,59858,regular,4,2,5
woman,53,159,59090,regular,3,4,5
woman,22,162,48551,never,0,1,2
man,43,178,81548,casual,1,4,5
woman,51,164,78362,casual,1,5,5
man,18,177,71620,seasoned,8,1,8
woman,25,164,72427,casual,2,3,7
man,41,178,70884,never,0,2,2
man,45,187,64693,casual,2,3,4
woman,42,160,54678,seasoned,3,3,6
woman,30,169,73631,regular,3,2,5
woman,42,167,65542,never,0,3,2
man,29,184,72990,seasoned,7,3,7
woman,39,164,63857,seasoned,5,4,6
man,50,182,62001,regular,5,4,5
woman,25,164,57688,casual,2,3,4
man,26,168,58370,regular,4,2,7
woman,27,155,68163,seasoned,5,3,4
man,24,174,74339,casual,2,4,6
man,36,186,76292,casual,2,4,4
man,50,181,65206,never,0,2,3
woman,37,164,56809,regular,3,3,5
man,47,179,59900,seasoned,6,4,5
man,37,170,53465,seasoned,6,1,7
woman,48,163,63620,seasoned,3,1,5
woman,48,162,62875,casual,0,6,4
woman,49,165,69554,regular,3,2,5
man,40,169,89237,never,0,2,3
woman,24,167,67228,regular,3,3,6
woman,18,167,59537,casual,1,3,6
woman,27,165,77243,seasoned,5,3,7
man,39,189,89801,never,0,2,2
woman,52,171,74612,never,0,2,3
woman,53,171,58068,casual,1,6,4
man,20,178,63845,seasoned,6,1,7
woman,23,160,70214,seasoned,6,3,7
man,44,174,77737,regular,4,5,5
woman,28,157,67167,seasoned,4,3,8
man,38,180,81857,casual,1,5,5
woman,32,163,58382,casual,0,4,3
man,21,174,61650,seasoned,5,3,7
man,52,180,85017,never,0,2,1
woman,53,164,56371,casual,1,5,3
man,36,182,88290,seasoned,9,4,7
man,31,166,70502,casual,2,3,4
woman,25,158,50379,seasoned,7,2,6
woman,38,159,62482,regular,2,5,6
man,29,170,68407,seasoned,7,1,6
man,21,175,68882,regular,4,4,6
woman,40,166,62253,casual,1,4,4
woman,37,164,64606,casual,0,5,3
woman,26,170,64372,seasoned,4,4,6
man,18,182,82958,casual,2,4,7
man,25,175,78790,seasoned,6,3,7
man,50,186,74599,casual,2,4,5
man,26,181,84883,regular,3,4,4
woman,29,181,73853,casual,0,4,5
woman,35,165,58765,casual,1,5,4
man,28,187,66485,regular,4,3,4
woman,18,173,84361,casual,1,4,5
woman,29,165,68756,regular,3,2,5
man,32,178,75558,casual,1,4,4
man,30,178,79817,regular,4,2,5
man,38,164,70585,casual,2,3,5
man,52,186,103356,seasoned,6,1,7
man,44,180,94956,seasoned,8,1,8
woman,29,165,70679,seasoned,4,3,7
man,32,176,80609,regular,4,4,6
man,52,186,80908,casual,2,3,5
man,33,179,87275,regular,4,4,7
woman,52,171,74679,seasoned,4,1,8
man,26,180,88162,regular,3,3,4
man,25,165,67082,never,0,1,2
woman,43,159,54884,casual,1,5,5
man,34,178,78678,regular,4,3,4
woman,53,166,62070,regular,2,4,6
man,25,165,65111,casual,1,4,3
woman,46,171,61118,never,0,2,3
man,18,185,84087,never,0,2,4
woman,29,169,69497,regular,4,4,4
man,34,194,85694,regular,6,2,5
woman,35,163,66375,regular,3,4,6
woman,40,161,58960,regular,3,4,4
woman,38,162,61704,casual,0,4,4
woman,34,164,49758,never,0,2,2
woman,43,171,63832,regular,2,4,8
woman,54,166,78940,casual,1,5,4
man,49,183,87175,seasoned,6,2,6
woman,30,161,61890,regular,4,5,6
man,34,175,70581,casual,2,5,5
man,48,172,59840,regular,6,3,5
man,22,166,60188,casual,2,4,7
woman,35,164,53947,regular,3,4,6
woman,28,160,63820,casual,2,4,4
woman,36,160,71554,never,0,2,2
woman,49,164,52079,casual,1,7,5
woman,45,157,63628,casual,1,6,5
man,27,178,81888,seasoned,6,2,7
man,44,187,64693,casual,2,6,4
man,28,181,70125,regular,3,3,6
man,36,184,79709,never,0,3,2
woman,46,169,54623,casual,0,5,3
man,53,183,92354,regular,3,4,5
woman,23,158,51782,never,0,2,1
man,22,184,83655,regular,4,2,6
woman,33,174,57039,regular,3,2,5
man,49,183,65273,never,0,2,2
man,53,170,67791,seasoned,5,1,8
man,34,182,68429,never,0,2,2
woman,18,173,55369,casual,1,6,4
woman,21,176,74435,regular,3,3,7
woman,52,168,65172,seasoned,5,3,6
woman,20,165,66172,seasoned,3,1,6
woman,50,167,74866,casual,1,4,4
man,21,183,88965,seasoned,5,3,9
man,27,178,73501,seasoned,10,1,6
woman,44,166,60337,regular,3,4,6
man,46,177,68394,seasoned,8,2,5
woman,32,177,69940,regular,2,4,5
man,32,182,92416,casual,1,3,5
man,18,183,95033,casual,2,4,6
woman,38,155,54496,seasoned,4,3,4
woman,40,159,46770,never,0,2,2
man,36,184,74218,casual,2,4,4
man,26,174,82420,casual,2,6,5
woman,53,167,62922,regular,2,4,6
man,41,180,74104,seasoned,6,2,5
woman,45,166,67498,regular,2,2,5
man,41,182,76964,regular,6,3,5
man,26,175,82992,never,0,2,3
woman,39,151,47433,casual,1,5,4
woman,35,153,60051,casual,1,6,5
woman,45,162,57783,casual,1,4,5
man,36,188,79336,regular,4,2,6
woman,46,165,68589,casual,1,6,5
man,42,185,79847,regular,4,4,7
man,39,163,62276,seasoned,10,2,5
man,47,169,67799,regular,6,4,5
woman,32,160,60721,casual,1,4,5
woman,44,167,69491,casual,1,6,3
woman,54,173,61687,regular,3,2,4
woman,46,169,55983,never,0,2,2
man,30,188,66158,regular,4,3,6
woman,34,164,55822,regular,3,5,5
man,18,177,87317,regular,3,4,9
woman,40,169,74521,seasoned,4,1,6
man,22,181,83251,regular,4,2,7
woman,19,169,76215,regular,5,4,8
man,52,170,59305,regular,6,3,6
man,52,171,79945,never,0,2,2
man,27,179,71105,casual,2,4,4
man,51,168,68933,casual,3,6,5
man,49,186,95185,casual,1,6,4
man,27,183,86394,regular,4,2,4
woman,37,153,43307,regular,4,5,5
woman,53,162,64946,never,0,3,3
man,33,178,100399,regular,6,4,5
man,37,184,97583,casual,2,5,5
woman,34,161,60829,seasoned,3,2,6
man,54,178,80599,regular,4,3,5
man,45,175,75167,casual,1,5,3
man,39,182,61751,casual,2,3,4
woman,40,154,54117,never,0,3,1
